Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Bean_Black_Turtle,Low_ozone_heated,1,22,36.66,111,25.236,,,1.666363636,227.3513514,5.045454545,,,,,
Bean_Black_Turtle,Low_ozone_heated,2,27,27.537,149,18.956,,,1.019888889,127.2214765,5.518518519,,,,,
Bean_Black_Turtle,Low_ozone_heated,3,22,22.912,101,15.776,,,1.041454545,156.1980198,4.590909091,,,,,
Bean_Black_Turtle,Low_ozone_heated,4,7,9.376,24,5.607,,,1.339428571,233.625,3.428571429,,,,,
Bean_Pinto,Low_ozone_heated,1,23,38.664,50,26.827,,,1.681043478,536.54,2.173913043,,,,,
Bean_Pinto,Low_ozone_heated,2,26,48.807,51,26.116,,,1.877192308,512.0784314,1.961538462,,,,,
Bean_Pinto,Low_ozone_heated,3,23,29.113,45,19.436,,,1.265782609,431.9111111,1.956521739,,,,,
Bean_Cannellini,Low_ozone_heated,1,24,18.628,44,13.72,,,0.776166667,311.8181818,1.833333333,,,,,
Bean_Cannellini,Low_ozone_heated,2,3,3.688,6,1.648,,,1.229333333,274.6666667,2,,,,,
Bean_Cannellini,Low_ozone_heated,3,12,4.595,17,2.559,,,0.382916667,,1.416666667,,,,,
Bean_Cannellini,Low_ozone_heated,4,,,,,,,,,,,,,,
Cowpea_Black_Eye,Low_ozone_heated,1,9,16.455,71,13.283,,,1.828333333,187.084507,7.888888889,,,,,
Cowpea_Black_Eye,Low_ozone_heated,2,11,16.039,70,12.029,,,1.458090909,171.8428571,6.363636364,,,,,
Cowpea_Black_Eye,Low_ozone_heated,3,4,1.065,6,0.096,,,0.26625,,1.5,,,,,
Cowpea_Black_Eye,Low_ozone_heated,4,5,2.828,9,1.666,,,0.5656,185.1111111,1.8,,,,,
Bean_Orca,Low_ozone_heated,1,31,26.541,61,15.977,,,0.85616129,261.9180328,1.967741935,,,,,
Bean_Orca,Low_ozone_heated,2,27,16.587,43,8.674,,,0.614333333,201.7209302,1.592592593,,,,,
Bean_Orca,Low_ozone_heated,3,12,9.585,20,4.804,,,0.79875,240.2,1.666666667,,,,,
Bean_Orca,Low_ozone_heated,4,8,9.78,20,6.477,,,1.2225,323.85,2.5,,,,,
Bean_Black_Turtle,Medium_ozone_heated,1,40,32.212,172,22.025,,,0.8053,128.0523256,4.3,,,,,
Bean_Black_Turtle,Medium_ozone_heated,2,15,11.634,70,8.349,,,0.7756,119.2714286,4.666666667,,,,,
Bean_Black_Turtle,Medium_ozone_heated,3,4,4.086,21,2.885,,,1.0215,137.3809524,5.25,,,,,
Bean_Black_Turtle,Medium_ozone_heated,4,3,2.281,9,1.788,,,0.760333333,198.6666667,3,,,,,
Bean_Pinto,Medium_ozone_heated,1,9,19.672,24,11.202,,,2.185777778,466.75,2.666666667,,,,,
Bean_Pinto,Medium_ozone_heated,2,13,12.296,26,8.99,,,0.945846154,345.7692308,2,,,,,
Bean_Pinto,Medium_ozone_heated,3,10,13.704,31,10.625,,,1.3704,342.7419355,3.1,,,,,
Bean_Pinto,Medium_ozone_heated,4,9,14.011,26,10.269,,,1.556777778,394.9615385,2.888888889,,,,,
Bean_Cannellini,Medium_ozone_heated,1,21,36.092,72,25.816,,,1.718666667,358.5555556,3.428571429,,,,,
Bean_Cannellini,Medium_ozone_heated,2,6,5.379,14,2.685,,,0.8965,191.7857143,2.333333333,,,,,
Bean_Cannellini,Medium_ozone_heated,3,22,20.984,46,15.938,,,0.953818182,346.4782609,2.090909091,,,,,
